interaction_id,age,job,marital,education,default,housing,loan,month,day_of_week,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,reward,arm,previously_contacted,pdays_since_previous,age_group
6544,44,admin.,married,university.degree,no,yes,yes,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6545,31,services,married,high.school,no,yes,no,may,wed,5,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6546,45,services,single,high.school,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6547,48,admin.,divorced,high.school,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6548,25,management,single,university.degree,no,yes,no,may,wed,4,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6549,37,self-employed,married,professional.course,no,yes,yes,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6550,27,services,single,high.school,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6551,35,blue-collar,married,basic.6y,unknown,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6552,34,services,married,high.school,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6553,36,services,married,basic.9y,unknown,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6554,38,blue-collar,single,basic.9y,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6555,46,blue-collar,married,basic.4y,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6556,42,technician,married,professional.course,no,no,yes,may,wed,5,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6557,42,blue-collar,married,basic.9y,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6558,39,blue-collar,married,basic.6y,unknown,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6559,38,admin.,married,high.school,unknown,no,no,may,wed,4,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6560,31,blue-collar,married,basic.6y,no,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6561,28,self-employed,married,professional.course,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6562,29,admin.,single,university.degree,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6563,32,technician,single,high.school,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6564,39,admin.,married,professional.course,no,yes,yes,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6565,34,admin.,single,high.school,no,yes,no,may,wed,4,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6566,27,blue-collar,married,basic.9y,no,no,yes,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6567,27,blue-collar,married,basic.9y,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6568,30,technician,divorced,basic.9y,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6569,36,services,married,high.school,unknown,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6570,39,blue-collar,married,basic.4y,no,yes,no,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6571,37,blue-collar,single,basic.9y,no,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6572,31,blue-collar,single,high.school,no,no,no,may,wed,11,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6573,56,technician,married,basic.4y,unknown,no,yes,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6574,49,blue-collar,married,basic.9y,unknown,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6575,20,entrepreneur,single,high.school,no,no,yes,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6576,53,technician,divorced,university.degree,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6577,40,blue-collar,single,basic.9y,no,no,yes,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6578,30,blue-collar,married,basic.6y,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6579,50,housemaid,married,basic.9y,unknown,unknown,unknown,may,wed,7,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6580,30,services,married,basic.9y,no,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6581,41,services,divorced,basic.9y,no,yes,no,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6582,53,technician,divorced,university.degree,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6583,36,admin.,single,university.degree,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6584,39,blue-collar,single,basic.4y,unknown,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6585,40,admin.,married,university.degree,no,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,telephone,0,,40_49
6586,56,blue-collar,married,basic.9y,unknown,no,no,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6587,39,admin.,married,high.school,no,no,no,may,wed,4,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6588,40,admin.,single,high.school,no,yes,no,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6589,33,blue-collar,married,basic.6y,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6590,47,blue-collar,married,basic.4y,unknown,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6591,29,admin.,single,high.school,no,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6592,55,admin.,married,high.school,no,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6593,38,admin.,single,university.degree,no,yes,no,may,wed,4,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6594,43,housemaid,married,basic.4y,unknown,yes,yes,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6595,35,technician,single,university.degree,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6596,33,blue-collar,married,basic.6y,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6597,28,admin.,married,basic.6y,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6598,34,admin.,married,university.degree,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6599,30,blue-collar,single,basic.9y,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6600,27,blue-collar,single,basic.9y,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6601,35,technician,married,university.degree,unknown,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6602,42,entrepreneur,married,high.school,no,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6603,30,blue-collar,married,unknown,no,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6604,31,services,single,high.school,unknown,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6605,50,services,married,basic.4y,unknown,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,telephone,0,,50_59
6606,33,blue-collar,married,basic.6y,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,telephone,0,,30_39
6607,55,retired,married,high.school,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6608,35,management,married,basic.9y,no,yes,yes,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6609,25,entrepreneur,single,university.degree,no,yes,no,may,wed,4,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6610,47,blue-collar,married,basic.4y,unknown,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6611,49,housemaid,married,basic.4y,unknown,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6612,27,technician,married,high.school,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6613,50,management,married,university.degree,no,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6614,48,entrepreneur,married,university.degree,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6615,35,entrepreneur,married,high.school,no,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6616,30,technician,single,high.school,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6617,31,blue-collar,married,basic.6y,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6618,49,management,divorced,university.degree,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6619,43,blue-collar,married,basic.9y,no,no,no,may,wed,18,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6620,39,blue-collar,married,basic.9y,unknown,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6621,35,technician,married,university.degree,unknown,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6622,32,blue-collar,married,basic.9y,unknown,unknown,unknown,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6623,36,management,single,university.degree,no,yes,no,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6624,31,entrepreneur,single,basic.9y,no,no,no,may,wed,4,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6625,35,retired,married,professional.course,no,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6626,56,retired,married,basic.6y,no,yes,no,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6627,37,management,married,university.degree,no,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6628,38,admin.,married,professional.course,no,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6629,25,unemployed,single,high.school,unknown,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,telephone,0,,under_30
6630,35,blue-collar,married,unknown,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6631,25,blue-collar,married,basic.9y,no,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6632,27,admin.,single,unknown,no,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6633,57,housemaid,divorced,basic.4y,unknown,yes,no,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6634,35,blue-collar,married,basic.4y,unknown,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6635,49,services,married,high.school,unknown,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6636,46,blue-collar,married,unknown,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6637,32,blue-collar,married,basic.6y,no,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6638,48,admin.,single,high.school,no,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6639,30,technician,single,university.degree,unknown,no,no,may,wed,4,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6640,30,technician,married,university.degree,no,yes,no,may,wed,5,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6641,49,retired,married,basic.4y,no,no,no,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6642,50,blue-collar,married,basic.6y,unknown,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6643,33,services,married,basic.4y,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6644,45,blue-collar,married,basic.6y,unknown,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6645,48,retired,married,basic.4y,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6646,55,admin.,divorced,university.degree,no,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6647,27,blue-collar,single,basic.4y,unknown,no,yes,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6648,54,technician,married,professional.course,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,telephone,0,,50_59
6649,38,blue-collar,married,basic.9y,no,yes,no,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6650,45,admin.,married,high.school,no,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6651,43,blue-collar,married,basic.4y,unknown,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6652,31,technician,married,university.degree,no,no,yes,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6653,45,technician,married,high.school,no,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6654,44,technician,single,high.school,no,no,no,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6655,36,blue-collar,married,basic.9y,no,yes,no,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6656,33,blue-collar,married,basic.9y,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6657,30,services,single,basic.9y,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6658,31,blue-collar,married,basic.4y,no,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6659,27,blue-collar,married,basic.9y,no,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6660,54,admin.,married,high.school,no,unknown,unknown,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6661,39,admin.,single,high.school,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6662,33,admin.,married,university.degree,no,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,telephone,0,,30_39
6663,45,services,married,high.school,unknown,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6664,44,technician,married,professional.course,unknown,yes,yes,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6665,42,unemployed,single,basic.4y,unknown,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6666,55,admin.,married,basic.9y,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6667,40,services,married,basic.6y,unknown,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6668,51,entrepreneur,married,basic.9y,no,no,yes,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6669,29,management,single,university.degree,no,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6670,33,blue-collar,single,basic.9y,no,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6671,46,blue-collar,married,professional.course,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6672,31,blue-collar,married,basic.9y,no,no,no,may,wed,4,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6673,41,admin.,married,basic.9y,unknown,no,no,may,wed,6,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6674,52,services,married,unknown,unknown,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6675,49,management,divorced,university.degree,unknown,no,yes,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6676,46,housemaid,married,basic.4y,unknown,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6677,29,services,married,high.school,unknown,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6678,41,management,married,basic.6y,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,telephone,0,,40_49
6679,42,retired,married,basic.9y,unknown,yes,no,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6680,39,housemaid,married,university.degree,no,yes,no,may,wed,7,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6681,45,admin.,married,basic.9y,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6682,35,services,divorced,professional.course,unknown,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6683,44,management,married,basic.9y,unknown,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6684,32,technician,single,university.degree,no,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6685,36,admin.,single,high.school,no,no,yes,may,wed,6,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6686,43,management,married,basic.6y,unknown,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6687,42,technician,married,basic.9y,no,yes,no,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6688,39,blue-collar,married,basic.6y,no,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6689,35,services,divorced,professional.course,no,yes,yes,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6690,30,blue-collar,single,basic.9y,unknown,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6691,34,blue-collar,married,basic.4y,no,yes,no,may,wed,6,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6692,39,admin.,married,basic.6y,unknown,no,no,may,wed,6,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6693,55,retired,divorced,professional.course,no,no,yes,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6694,29,blue-collar,single,professional.course,no,no,no,may,wed,5,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6695,53,technician,married,professional.course,unknown,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,telephone,0,,50_59
6696,31,admin.,married,high.school,no,no,no,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6697,59,retired,divorced,basic.9y,unknown,no,yes,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6698,43,technician,divorced,unknown,no,no,no,may,wed,9,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6699,33,admin.,married,high.school,no,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6700,36,blue-collar,married,basic.9y,unknown,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6701,31,technician,married,professional.course,no,no,no,may,wed,5,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6702,31,admin.,divorced,university.degree,unknown,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6703,27,blue-collar,married,basic.6y,unknown,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6704,40,admin.,single,university.degree,no,no,no,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6705,47,blue-collar,married,basic.4y,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6706,42,admin.,single,university.degree,no,no,no,may,wed,5,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6707,35,blue-collar,divorced,basic.4y,no,yes,yes,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6708,24,services,married,high.school,no,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6709,55,unemployed,married,basic.4y,unknown,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6710,49,blue-collar,married,basic.4y,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6711,36,services,married,high.school,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6712,34,blue-collar,married,basic.9y,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6713,28,services,single,high.school,no,no,no,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6714,50,technician,married,professional.course,unknown,yes,yes,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6715,27,blue-collar,married,basic.9y,unknown,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6716,42,blue-collar,married,basic.4y,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6717,52,blue-collar,single,basic.4y,no,unknown,unknown,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6718,34,admin.,married,high.school,no,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6719,44,admin.,single,high.school,no,no,no,may,wed,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6720,39,services,married,high.school,no,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6721,27,blue-collar,married,basic.9y,unknown,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6722,50,management,married,university.degree,no,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6723,27,management,single,university.degree,no,no,yes,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
6724,33,services,single,basic.6y,unknown,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6725,49,blue-collar,married,basic.4y,unknown,no,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6726,51,unemployed,married,basic.9y,unknown,yes,no,may,wed,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6727,46,blue-collar,married,basic.9y,unknown,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6728,58,retired,divorced,university.degree,no,yes,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
6729,32,admin.,divorced,university.degree,no,no,no,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
6730,53,technician,married,professional.course,unknown,yes,yes,may,wed,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
